comments,emoji
2024 me kon kon sun Raha hai ye song,😅😅😅😅
2024 mI bhi biwi toh aayi nahi hai gaane se hi feel le lu,😅😅
"Kisi ke husband ko I love nahi bolna chahiye galat baat hai  
Sir aap quiet lagta hai .https://m.youtube.com/watch?v=GddtN04jN2k
 Biwi No. 1 (Title Track) | Abhijeet | Poornima - YouTube
https://m.youtube.com/watch?v=GddtN04jN2k
 Biwi No. 1 (Title Track) | Abhijeet | Poornima - YouTube",🎥🎥
Abhi tak usaki shadi nhi hui aur biwi kaha se aai,😅
"Such an underrated song. Salman khan kya laga hai gaanay mein, karishma too",❤❤❤❤
Mai Roxana sunti hoon,❤
Director na kaha na isiliye yaar,😅😅😅😅😅
26ASH95JAYA 1 NO 🦁 Jo hoga dekha jaye ga CANTT KNP2023,🌍🐎❤🏳🌹
Har har Mahadev ️️,🙏❤❤
"Biwi= paresan, shak, chillana, bat na sunna manna",😂😂
Are bhai logo ye Film h hakikat nahi,😂😂😂😂
supar na wa,❤
Prem about U,😊
Ye adani itne ache he to bhi do sari vali pata li,😅😅😅
Achha Gana ka v Anu Malik Gaand maar deta thahar gana utha k dekh lo sab me Anu malik ne gaand mara hai,😂😂😂😂😂
Rakhail hi achi lgti hai Mardo ko,😥😥😥
I love Salman Karishma Jodi onscreen 🥰🥰,😍😘😘💕💕💕
Indian cinema ka baap megastar salman khan,❤❤
"Yeh itni rich wife dikhayi h , phir bhi saara kaam khud hi karti h ,kya fayeda ,Yeh biwi hai ya maid ,voh maid jo free mein kaam kare 
And maid banne ka kya fayeda ,ki husband ne cheat hi kiya ...Aur bano Gharelu Bahu aaj ke Kalyug mein",😂😂😀
Biwi Ke Naam par ninja liyaye ye to,😂😂😂😂😂😂
Best jodi 90s ki,❤❤❤😘
Kon Kon 2023 me dekh Raha hai 🤭🥰🥰,😁😁
YES ALWAYS BIWI NO 1 SIR WHATEVER THE CONDITION IS YES I WILL BE THE SAME AS LIKE YOU MY BARBIE DOLL MY HEART SHINE KRISHNA MAI KARISHMA MAI SIR YES I AM A FIGHTER ALWAYS AND THIS IS MY FIGHT SONG SIR SO INSPIRING YOU ARE IN THIS ROLE AS WELL AS IN REAL LIFE THAT'S WHY I ADMIRE YOU ALOTTTTTT SIR THE GREAT WOMAN SIR ️ KARISHMA ️,🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌼🕊🕊🌼🌺🌺🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
Aapni Gf ke kahne par ye song ki video dekhne aaya hu,😢
Kal fir tai  kah se ki,😅
Kon kon bachpan mai starting wala cartoon dekhne k liye song dekhta tha,😅😅
Q ha koi dout,😅
Megastar salman khan ♥️ jaisa koi nahi,👏
Senso creation date 24*02*2023 senso company registered office siraj work ms office dimple shah guzrati jain princess kalam ️️️️️️️️️️️️️️️️ husband fight 🤺 🤺🤺🤺🤺🤺🤺🤺🤺🤺🤺🤺🤺🤺🤺🤺 wife princess maja ayega haqqani anjuman azangachi sufi umear faroqe areb horse race color🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱 95555 icici group🤳 bambay siraj🆗 dimple fashion🤳 Show  invited speaker  salman khan dost successful career karisma kappor visit senso creation🤳,👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕🐎🐎🐎🐎🐎👷💡💡💡💡💡💡💡💡💡💡💡💡💡💡💡💡💡💡💡💡👸🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊👷👷👷👷👷👷👷👷👷👷👷👷👷👷👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸👸🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🔊🔊🔊🔊🔊🔊🔊🔊👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕✋🔊🔊🔊🔊💔
Koi bhole mujay Hi SamsungToba bara advance song hai,😆
"Gana complete karne ki itni kya jaldi hai,office me thik se kaam bhi nahi kiya vapis aa gaya wife ke pass gana gane ke liye",😂
Senso creation date 27*01*2023 senso 🆚 ms reeta pandit bihari icici group princess kalam ️️️️️️️️️️️️ swapan bhai 9500 🤱 lalon bhai 6500 🤱  amor bhai 6500 🤱 bapon diyasi bhai 6500 🤱 buro bhai 6500 🤱 sorup bhai 6500 🤱 tonmoy bhai 6500 🤱 kush bhai 6500 🤱 md aziz bhai 6500 🤱 taibuula bhai 6500 🤱 dilip bhai 6500 🤱 badal bhai 6500 🤱 ranjit bhai 6500 🤱 28*01* 2023 senso 🆚 ms dimple shah guzrati jain princess dimple fashion shows 30*01*2023 senso 🆚 ms rekha shinde marathi icici group princess program,👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕🐎🐎🐎🐎🐎👰🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🐎🐎🐎🐎🐎👰👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚🐎🐎🐎🐎🐎👰
Meri bali bhi  asi subha subha utke sara kam krti h ..️...,❤😍
Achha hua ye movie us time baikot nahi hua  nahi to baikot pakka hota gobar bhakt pakka karte  viswas nahi to khud hi dekh lo  00:32  me Kiya hua,😁😂😂😂😂😂
Yhi h biwi no 1jo divorced h🤣🤣,😔😉😂
Ye film Govinda sir ko milna tha.wo iske liye best he,👍👍
Itni acchi biwi hone ke baad bhi ye admi dusri ke piche chala jata hai,😂😂
I love krishma best  and dum dar enkey reley ashu l  hat airs tujha jhaha rhiga mera sayansath hoya song ok  good  bye  one,👍🏻👍🏻✌🏻
*Meri Biwi No.1 Main Uska .....No.11 ya No.111 ya No.1111 ya No........................... ya No................. ya No................. ya....🤔🤨🤪🧐*,🙄😕😳😏😉
2:53 waaah ji  ghar mein bacche ke saath khelne waale bhoot bhai hein,😂😂😂😂😂😂😂😂
Bs ho gya decide...mere husband ko merii ese hi tareef krni pregii... warna kalesh,😌😌😌❤😎
Aaj Kaun sun raha ye gana,❤
"Nice Songs 
Delhi - NCR  ..............................Hum Sun rahe hai Abhi Song",🙏🙏🙏🙏🙏👍
January 2025 m kon sun raha h,❤❤😂😂
Abhi kon sun rha h?,😅
Achha song hai,❤❤❤
4  jan to 14 jan 2025 ko koi sun rha h kya ?? It's great,👍
4 January  2025  kon suneaha hai,❤❤
Kaun-kaun 2025 mein yah song Sun Raha Hai,❤🎉❤
Aaj 2025 ko koi sun rha h kya,😂😅
Aaj kon kon ye gana sun rha hai hamare sath,❤
Nice song kon kon mere trah aaj sun raha hai,😂❤❤❤😂
"2025 mein kaun kaun sun rahen ye song
Mai 4 January 2025 ko sun rahi hun",🎉🎉🎉🎉❤❤❤
Kon kon 2025 me dekh raha ho ?,😊
Mai abhi yani 4january ko,❤
2025 mai kon sun raha hai  karo,👍
"Kon kon 2025 main dekh raha 
Hai vo like krem ️",➡🇮🇳
hum ga rhe h av,❤❤
Kon kon 2025 ke January me dekh rha hai,❤
2025 me kon kon sun rahe ho bhai  idhar pahle attendance banao,😂😂
"Kon kon 2025 , 1 january ko sun raha hai",❤❤❤❤❤❤❤
2025 vale kon h,😊😊😊
kon kon 2025 me sun rha hai ye song vo like  karo,😅
Mai 2025 me sun rhi hu,❤
2025 sun raha he ...,❤
Kon kon 2025 me sun rahe hai,❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Hi,❤❤❤❤😊😊😊😊
03/01/2025 ko kon sun Raha hai ye song,😊😊😮😮
2025 me kon kon sun rha hai,😊
Kon kon is songs ko 2025 me sun raha hai,❤❤❤❤
2025 mei kaun kaun ye song sun raha hai i love this song 🤗🥰,❤❤❤❤💕😘
Kon kon 2025 ke january me songs sun raha hai,🎉🎉❤❤❤😊😊😊
Kon Kon 2025 mn ye song sun rhe h,😂
Kon kon 2025 first me ye song sun rha h,❤
*Kaun Kaun 2025 me sūn ◟( ͡° ͜ʖ ͡°)◞ raha hai.*,✺✺
Kon kon 2025 me sun rha hai ? Like krke batao,😊
Mare ko pasand hai,😅😅😅
Mai v aa 2025 cho,😅😂
Mai v sun rahi aa ajj ehh song,❤
Kushinagar se coun coun sun raha hai,❤
me bhi sun Rahi hu,🎉
Old song ki bat hi kuch or h,❤
U 2:42 p76se Koon koonsun rha hai,❤😮😮❤❤
2025 m kon kon sun raha h,😂
2025 me Kon kon sun   raha hai ye song,😂😂❤❤
January 2025 me kaun kaun sunn Raha hai,❤
2025me on kon sun raha hai,😅
2025 me kon kon sun raha hai Like Kro,❤
Kon kon 2025 me song sun raha hai,❤❤😅
Kon kon New year mein 🤍,🍉
Ye song kis ko pasand h,❤
Gujarat se kon sun raha he,😂
"1 January 2025 ko kon kon sun raha hai
Ye gaane",❤❤❤❤
Ham 2025 me sun rahe hai,😊
Kon kon 2030 me song sun raha hai,😂❤
2025 ke liye kon kon suna,❤❤❤
2025 me kon kon sunn raha hai,😊
Kon kon 2025 1st jan me song sun raha hai,❤❤❤
Koun koun 2025 me sun raha hai,😂
Kon kon 2025 main sun raha hai,❤❤❤
Kon kon 1 January 2025 ko sun rha h,😅😅
Kon kon new year ke 2025 ko ye song sun rha hai,🎉
Me to 2025 me sun raha hu,😊
Kon kon 2025 January may sunrha h,❤
Kon kon 2025 me sun rahaa hai,😊😊
kaun kaun 1 January 2025 ko dhekha rha h  aaj mee dkekha rha hu,😂🎉🎉🎉
Bhai me 2025 me sun raha hu,😊
Kon kon 1 January 2025 ko sun rha hai,❤❤
Kon kon 2025 me sun raha hai,🎉🎉🎉❤❤
Kon kon 2k25 me song sun raha hai,❤
Me saal ke aakhri din 31 December main sun rahi hun aapko sabhi naye varsh ki shubhkamnaye 2025 ki jai shree Krishna radhey radhey,🎉🎉🎉🎉❤❤❤❤🙏🙏🙏
gana sunte sunte Sona  kisko Pasand hai,🎉
2024 last day Aaj main sun raha hoon  bye bye 2024,😊
Kon 2025 me dekh rahe hai,❤
Kon kon 2026 sun raha he?,❤
31 December 2024 ko last baar koun dekh raha hai,😂😂
Dec 2025 mai kon sunraha hai,❤
Bihar se kon kon dekh raha hai,❤
Odisha se like,😅😅
31 Dec me kon kon sun raha h,😊
Mai sun raha hoon,😊😊
Lajwab song hai,🎉🎉🎉
*kaun kaun **12:00** sun raha hai*,😂😂😂😂
Mam aapke video pr copyright nahi aata hai  aapne upload kaise kiya,😢😮
Hello sir kya me aap ke song ko Re-Upload Kar lu ..sir no copyright,❤😊
Mai nashik se sun raha hun.,❤
Ye song hmme bahut Accha lagta hai,❤❤❤❤
Kon bihar se sun raha hai,😊😊
Kaun-kaun apni shaadi mein yah gana bajaega,❤
Bahut badhiya song hai,❤❤❤❤❤❤❤😂😂😂😂😂😂😂
Mast hai,❤❤❤
Aj kon kon shun Raha hai,😊😊
Kon kon chomli se sun raha ha,❤❤❤❤❤
Ab kon sun raha hai,🍁
Bhagalpur se kon kon sun rha h,😅😊
2025 main sun rahi huu main,😂
Kon kon sun raha hai abhi 30/12/2024 Monday,❤❤
Accha song,❤❤❤
kon kon maharastra yaha gana aun raha hai,❤
2025 me koun koun dekh rha h,😅
Rajsthan me kon kon sun Raha he is gane ko,❤❤❤❤
Saudi  se sunrha hon mre bhai,❤❤❤❤❤
Bhai bus driver ka playlist,😢😂
Kon kon 2024 30 December mei dekh raha hai,😂😅😊😅😂😂
Sab sahi h main bhi sahi hu Galt nhi hu 🥰🪔,💯🚩🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
Sabhi bado ka aashirwad 🥰🪔🪔🪔 bas,🙏🙏
KOUN KOUN 2025 MAIN SUN RAHE HAI,😂😅
Bahera se kon kon sun raha hai bolo,😊😊❤❤
Kon roj sun raha h,😅
Kaun kaun 29 december 2024 ko sun raha h,😊😊😘😘
29 december ko kon kon sun raha hai,❤
Hum,😊
Kon  kon ye gana 2090 me sun raha hai,😊😅
Kon aaj yaha gana sun raha hai️,😘👍❤
Kon kon Bihar se son raha hai,❤❤
Hum to 2035 mai sun raha hun,😅😅❤
Kon 2025 mai sun rha hai,❤❤❤❤❤
"waah maza,aa gya gana sun ke mujko apne pahle prem ki yad aa gyi main chahta,hu ki aise,hi gane bana kare mujko aise gane hi pasand h aur jo is samay ke gane h vo mujko sa.ajh me ui nhi aate",❤
Kyon n k o n m a h a r a s t r a s a g o a n a n a s u n r a h a h a i,❤❤❤❤❤❤
Muje ye songs pasnd hai,❤❤❤❤❤
Kon kon 2068me sun Raha h,❤❤❤❤❤❤❤❤❤❤❤
28 dec 2024 ko kon sun raha hai,🎉
Aaj kon sun raha hai,😂❤❤
December 2024 me kon kon sun raha hai,❤😂🎉😅
Gaziyabad se kon kon ye song sun raha hai.,💫
Bihar se kaun kaun song sun rahe ho,❤❤❤❤
2024 28december ko Kon sun raha hai,😅
Kon kon scorpio me sunn raha h wo like kro,😊
Kon kon ye song Assam se sun raha hai,😊❤
Bahut badhiya song hai,😊😊😊😊😊😊😊
Jharkhand se kon kon sun raha hai 2024 december me,😅
Mind relax ke liye kon kon sunne aaya hai yha🤟,❤❤❤
Odisha se kon kon suna Raha hai,❤❤❤❤❤
Gonda se hu bhai log,❤
"Lucknow, sitapur se kon sun rahe hai",😂😅
Hum,😅😅😅😅😅
27december ko kaun kaun sun raha hai,❤❤❤❤
Inioy kro dost bhot acche song hai☝️️,❤
M 1775 se sun rha,😅
Bihar se kon kon sun raha h,😊
Hum Gonda se dekh rahe hai,😊😊😊😊😊
India s kon sun raha h,😊
Mai,❤
Kon kon 27 December  ko ye gana sun raha hai,❤
Bhai mai sun raha hu d24 mai,😅😅
Kon kon 28 Dec 2024 ko sun raha hai,❤😂😂❤😂
Bihar se kon kon Sun raha hai attendance lagao,😂😂😂
hum ji,😮
27/12/2024 ko kon sun raha hai song,😊😊😊😊
Mai,❤
January 2025 mein kon sun raha hai,❤❤❤❤
2025 Jan mai koun koun sun raha hai,😂
January 2025 me kon sun raha he ye,🎉❤❤🎉🎉😊
Kes kes ko ye song pasand hai oo like kare,😂😂❤❤
Aaaj kon kon sun raha hai,😂😂
Gana sunane ke bad Mera purana yad a,😢
dil mera Tod diya,😢😢😢😢
Mai 2024 main,😊😊
Mumbai se kon sun rha h,❤😊
Aaj kon kon sun rahe ho,❤
AAj kon kon sun raha hai,❤❤
25 december ko kaun sun rha h,😂
"CG 04 KGF i.. Love you 
YeDiL AAP Ka Hai Shadi Mubarak",👊
Mai fewret song ️,❣
Kon Aaj yaha gana sun raha hai🤩🥰️🩵🩵🩵️️,😍👌👌👌❤❤❤
25/12/2024 ko kon kon Dec raha he,😮😮
25 December me kon kon sun raha hai attendees please,❤
Kon kon 2028 me sun raha hai,😅
Me Sun Raha Hu G....,❤❤❤
Kon kon Assam se ye gana Sun raha ho,❤
Yaa allah is YouTube ko kamyabi jaldi dila de 🤲🤲🤲.. love  you bro,💕
बिहार se कौन कौन sun rahe ho,❤❤❤❤
Bihar se kon kon sun raha hai,❤❤❤🎉🎉
Wow very nice song hai,❤😌😌😌😌😌😌😌😌😌😌👌👌👌👌
Bihar se koun koun hai bhi,❤
Assam mein kaun kaun dekha hai,❤❤
24 december ko kon kon sun raha ho,😂
Hum,🎉❤
Aaj thora pk aya dosto k sath,😊
Kon kon maharastra se  gana sun raha hai ️️,❣❣
Border se kon kon sun rahe hai,❤😊
Assam se kon kon suneaha hai,😭😭
Konkon Goa se Sun Raha hai yah song,😂😅😅
Kaun-kaun South Africa se hai  batao 🤣,😂😂😂😅
kon kon 23 December ko dekh rha h,❤❤❤
Motihari se kon kon sun raha he,❤❤
23 December ko kon kon sun raha,❤❤
abhi 2025 nhi aaya kuch din baki h sis,😂
Up Se subhash Kumar ?,❤🎉😅😊
Mera L waibrete ker rha hai,😅😅😅
1947 se sun rha hu,😂😂😂😂
Hm 22 December 2024 me sun rahi hu achi lagti h purene gane,❤
24 dec ko kon hai,🎉🎉😂
Aaj 23 December 2024 ko koi sun rha h kya,😅
Bachpan ki yaad aa gayi yaar gana sunke,😢😢😢😢
Mujhe ye sabh song bahut pasand hai I Lo Hindi song,❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
22 Dec ko kon hai,😅😅
"Maine gaan aise hi sunta hu, gaana ka meaning mereko pata nahi

Aise kon kon ho??",😂
Aaj ke din kaun kaun Sun raha hai,🎉
Me 2024 December 22 aj bhi sun rahahu,😅😅
Aaj 22 December ko kon kon sun raha h ye gana,😊
Kon kon 22 December 2024 Sunday ke din sun rha hai,❤❤
Aaj kaun dekh raha he,😂
Me bhi sun raha huu,❤
"Jiski girlfriend nahi hota wahi raat ko gana suntta hey , sahi bola na doston",😂
Aaj 21 December me sun raha hu aane ham umar tak sunte rahenge,🎉🎉🎉🎉
Kisko kisko psand hai ye gana,❤❤❤❤😮😮😮
Mai Pakistan se dekh raha hu,😂😂😂😂😢😢😢😮😮😮😮😢😢😂😂😂😢
Ye sab gane sun ke kisko nind aa jati hai.,😅
Kon kon 2025 main sun rha h,😅😅😅
Main hu bharud,😂😂❤
Uk..se kon kon sun rha hai,❤
Kaon 18 december ko Wednesday ko wo like kare,❤
"Kon kon today sun raha hai
19/12/2024.",❤😊😮
19 /12/2024 ko kaun sun raha hai,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Jiska Dil es 2024me tuta h wahi like kre Jo ye song fill kr rha h ️‍🩹,😢❤💔💔
Kis kis ka Dil tuta hai,😢😢
Mujhe behad Pasand h ye sb song m hr baar caar drive me yahi gana sunta hu,❤❤❤
Ye gana sun kar kise apni first love ki yad aa raha h,❤❤❤❤❤
Kon kon aaj sun rahe hai,😢
Kaun-kaun 2025 mein Sun Raha hai,❤❤
Study ke liye sabse Acha song hai,😢😢😢😢😢
Kon kon old gana sunana pasand karta hai,❤❤❤❤
Han bhai,❤❤❤❤
H,❤❤❤❤❤❤❤❤❤😮😮😮😮
Muje mere khoon pe visvas h,😂😅😢
KiS kiS ko purani girlfriend ki yad agai to wo sune aya ha,😢😢
Old is gold purana song main jo maza abhi kahan hai sir,❤❤❤❤
2026 me kon kon sun raha hai,😅
Bhut jaan hai es gana me,❤❤
Night me so te time batut acha lagata hai,❤❤❤❤😊
Ajay Sar ji ekadam sarvshreshth songs superstar Ram Ram ji����,❤
Kaon koan abhi sun raha hai,❤
Bhachpan yaad aa gaya,😢
Kon kon aaj 15 December 2024 ko ye gaana sun rha hai,❤✌
15 dec 2024 ko me ek Long draiw par hu aur songs sun rahi hu 🥰,❤
Kon kon 2025 mein dekh raha hai,😅😅😅😅
Main,❤
Hum,❤❤
Kon kon 2024 ke december me  song sun rha h,❤❤❤❤❤❤❤❤❤❤
Kis kis ko puraane gane sunne me achha lgta hai,❤❤❤❤❤😊😊😊😊😊
2024 ma bhi ma ye song sin rahi ho,❤❤
Kon kon pyar kiya hai,❤
Kon kon 2024 ke December me sun raha hai,❤❤❤
Kon kon 2025 me ye song sun raha h,😂😂😂
Kon kon 2099 me sun raha hai,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
Kon kon 2024 December mai sun raha hai  like karna,❤
super se upr all songs,🎉❤❤❤❤
bahut cute,🎉🎉🎉🎉🎉🎉🎉
Kon kon abhi sun raha hai,❤❤
Oho tom nahi,😂😂😂😂😂😂
Mai ..,❤
Kaun kaun 2025 me dekh raha hai,😂😂😂
Kon kon दिसम्बर  me sun raha hai,❤❤❤
Kon kon ye gaaane january 2k25 me sun raha haii ??,❤
mai abhi  sontaha  ho,😢😢😢
Kon kon sun raha hai abhi,❤❤❤❤❤❤❤
12 dec.ko kon kon es song ko sun raha h,❤😅😊
Kon kon aapne gf ko suna rha hi,😅😅
Kon kon 2025 me sunn raha hai,😂😂😂😂😂😂😂😂😂😂😂😂
2025 main kaun kaun is gana ko sun raha hai,😅😅😅
Me to 90s wala hun,❤
2025 kon kon hai,❤
waah bhai waah,❤❤❤🎉🎉😂😢😮😮😅😅😊
Nei me ne suna,😢
Yaad aa rhi h bahot,😢
Kon ajj sun raha hai bhailok,❤
Kis kis ka barth day December me aata he,😊❤
10 December 2024 Sun Raha Hun,😢
2024 me kon kon ye song sun raha hai,❤❤❤❤
Mujhe bahut pasand hai old song very beautiful hota hai,❤❤❤
Crush ki yaad aagyi,😢
Aaj 9 December 2024 ko koi sun rha hai kya,😅
Aaj 9 December ko kon kon sun raha hai,😅😅
Banjara Jo pasand karata h,❤❤😊😊😊
Kon kon song aaj feel ke sath sun rha hai,❤
Kis kis ko ye song aacha lga comment kijiye,❤❤❤❤❤
"Kabhi bhi nahi socha tha ki , eise alag ho jayenge",😅
Kaun kaun 9 December 2024 ko ye song sun raha hai so beautiful song,😍😍💕
Bahut super hai,❤
Kon kon 2025 main bhi sun Raha he,❤
2050 mein sunrun......2024 mein ech sunte naa kya...,😂😂😅😅
Kaun sad hoke Udit narayan ji ka gaana sunne aaya Hain  Dec 2024,😂
Mai to 8 December  ko sun rhi hu,😊😊
hum bhe sun rhe hi,❤❤❤
Kon kon 2009 me sun rha h ️,❤
Kaun kaun 2024 December me sun raha hai is song ko,😊
Kon kon December me sun raha hai......,❤
Mai,❤❤❤❤❤
Ya brother fully supported by,🎉😢😮😅
Kon kon 2024 me ye song sun rha hai nice song hai ye bhut zyada,❤❤❤
Kon kon 2025 Song Sunraha Hai,❤❤❤❤
Kon kon 2050 main sun raha h 🥺,😢💔
Kon kon 2025 me gana sunraha hai,😢
No. 1 collection of songs... Jab apn 20 years ke the,❤
Hm sun rahe hai,😂😂😂😂😂
Kon kon 2025 me ye gana sun rha hai,❤
Uffff This song ️️️ Bht memory ka yaad arhi hey,❤❤❤
Mai January 2025 me sun raha hun.,❤
Kaun kaun 2025 me ye gana sun raha hai,❤❤
Kon kon 6 dismber Mai sun raha hai,😂😂
