comments,emoji
"Even though being in modern era where all girls are career oriented, I want my family to be like this, where I'll be biwi no 1",❤❤❤❤❤❤❤
All ways bahii number one,💪💪💪
Forever  movie,❤❤❤❤
Nice Bibi number1song,❤
Still cheated on her 🤦,😒
Salman in parallel universe,❤
1999 my birth year,🎉❤
This song should be given by doctor as a medicine for hyper tension.. Listening two times a day (morning and evening) keeps your mind peaceful,😅
Wow Beautiful song️️️️️,❣❤❣❤❣👍
This song remind me of the past,❤
КЛОУН ИЗ ФИЛЬМА УЖАСОВ🤦,😖😳
Senso creation date 15*03*2023 🤳 kwaja mainnddin chiste ajmeer 🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕🧕 bibi no 01 ms office dimple shah guzrati jain princess  kalam ️️️️️️️️️️ 25555 icici group 16*03*2023 dimple fashion show  17*03*2023 ms office dimple shah guzrati jain princess  kalam ️️️️️️️️️️️️️️️ 95555  icici group dimple fashion show  18*03*2023 ms office dimple shah guzrati jain princess  kalam ️️️️️️️️️️️️ 55555 icici group dimple fashion show  20*03*2023 ms office dimple shah guzrati jain princess  ️️️️️️️️️️️️️️️️️ 100000 one lakh icici group dimple fashion show  21*03*2023 ms office dimple shah guzrati jain princess  kalam ️️️️️️️️️️️️  dimple fashion show  22*03*2023  23*03*2023  24*03*2023 md dimple shah guzrati jain princess   haqqani anjuman azangachi sufi umear faroqe areb horse  senso creation phone 🤳 calls  95555  icici group waiting ⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚ bambay siraj work  dimple de,🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅🎅👸🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👸🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👸🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👸🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👸🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊🖊👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👚👚👚👚👚👚👚👚👚👚👚👚👚👚👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👸🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷👷
love that. childish sound,😂
This song Perfect example indian husband and wife,😃😃😃😃
I m hearing it on 2023,😅
Saya pecinta lagu india,😘😘😘
"My Salman ️️️
2023",❤❤❤👍
Who is after sartaz sir,😀😀
Senso creation date 26*01*2023 senso company secretary ms dimple shah guzrati jain princess bibi no 01 🆚   27*01*2023 senso company secretary ms rekha shinde marathi icici group princess bibi no 01 kalam ️️️️️️ 95555 🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱🤱 note lo vote do joy prakash shah guzrati jain microphone dimple fashion🤳 shows,👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕🐎🐎🐎🐎🐎👰👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕👕💺💺💺💺💺💺💺💺💺💺💺🏧🏧🐎🐎🐎🐎🐎👰🖊🖊🖊🖊🖊🖊🎤👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚👚
"Timeless song and timeless pair, my fav 90s bollywood couple salman and karishma",💕😊👌
Zzzzzzx,❤❤❤❤🎹🎨🎨🎨🎨🎨🎨🎨🎸🎸🎸🎨🎨🎨🎨🎨
Ohh bhaii my hart touchig my hero life and siger love  my my life,💕💕
Siger abjit wow kasey bol geythey abhijet lam right fraieds all word loves  mom no one ☝,❤❤❤❤🏻😂😂😂😂❤❤😅😅😮
V haye haye ️️️🤣🤣🤣,💜💜💜❤❤❤😂😂😂
Nice nostalgic,👌
2:56 I am addicted to that bgm which slowly increases in volume,😍😍😍😍
Super cute,🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
آپ کا ایک کلک لگنا ہے اور مجھ کی زندگی بدل جاتی ہے ۔ اللہ آپ کو تمام خوشیاں نصیب فرمائے آپ کا والدین سایہ آپ پر سلامت رکھیں ۔ انھیں لمبی زندگی عطا فرمائے۔آمین..,🇮🇳
Pplu,😘
Wow such a sweet pair of Salman n Karishma had ️,❤
1:27 maza,❤
Worst songs bloody fool,🎉😂
This song is my favorite song,💓💓💓💓💓💓😍😍😍🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Muzakkir,❤❤
സൂപ്പർ സെലക്ഷൻ സോങ്,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Love you so much my favourite songs,❤
2025 me kon sun rahe he,😊😊😊❤❤❤❤
ilove sang,❤❤❤🎉
Ma sun ta hu,❤❤
I'm listening to this song looking at a candle ️and reflecting on the old version of myself,🕯😢❤
2025 Gang....,❤😁
Ar me 2025 me dekh rahhnu,😊
Super song,❤❤😊😊😊😊
Who is listening 4-1-2025…......90's song,❤
K,😢
Me avi sun rahi hu,❤❤❤
My favorite song,❤❤❤❤
20025 me,🎉🎉
Kon kon 2025 me dekh rahe ho,🎉❤🎉
beautiful songs,🎉🎉🎉
2k25 me sunne walo... attendance here,😅❤
Ham be,😅
2025 vale aajavo...,❤
U.tub,❤😢
Haa haa,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
Romantic songs frm kashmir,❤❤❤
Ham,❤❤🎉🎉🍔🇩🇪🇩🇬🇩🇯🇩🇯🇩🇰🇩🇰🇨🇭🇨🇭
Wt,😊
Nice song,❤❤❤❤
"Like, who are listening it in 1jan 2025",❤
Legend in 2025,😅
Masta ghana four biju,🎉
Beautiful,❤❤❤❤
Beauti ️️ honice song,❤❤
Song honice,🎉❤
Old si gool,❤❤❤❤❤
Anyone in 2025,😅
kiska yah phebret gana haibhatao,🎉🎉❤
Kon kon ye song 3january ko soon rha ho,❤
3 Jan 2025,❤
3 date 2025   old Love  song,❤💘
In 2025,❤
Ham,❤❤❤❤❤❤
Nice,👌👌👌👌👌
Deepak yadav 2025 song,❤❤❤❤❤❤❤🎉🎉🎉
Kon kon 2025 jan2 me ye sunrahahe,😂
Kon kon 2025 me a song sun rha ho,❤
Ba ba,😁
Lol,😂😂
Kon Kon Pakistan sa dekh raha. Ha Ripley please,😢😢😢😊
Kon kon 2059 he sun rahe like,😂😂😂
A Kashmiri boy listening in jan 2025,❤
2025 january me kon kon sunrahaho,😊❤
Sultanpur sa maa 🥰🤩,😊😊😃😍
k,😊😊😊😊😊
02-1-202504:00AM,❤❤❤
Hope,🎂🎂🎂🎂🎂🎂
Any one from 2025,❤
2025 wale,👇
1 jan 2025,😊😊
Fast january 2025,❤
1 January 2025 attendance,👇
Happy new year 2025,🎉
Kon kon 2025 ke 1st january may sun rahe ho,💕💕
Assam sa 1 January 2025,❤
Ji,😊😊😊
Anyone 2025,😂😂
31 December 2024,😅
Mithlesh,😅
Raaz songs evergreen,🎉❤❤❤❤❤❤
hello,🎉🎉🎉
Khelaga freefire,😂😂😂😂😂😂😂😅😅😅
2025 wale like kro,😂
Anyone in 2025 ‍♀️‍♀️,🙋🙋
Very. Nice,❤❤❤❤
2025 ma kon sunraha ha,😂
su,❤💗💗
31 December,❤🎉
I love this song 🤩,💞💞💞💞❤
31 dec 2024,❤
Old is Gold it's true...I love oldest song..... 🤍,❤🌸
খুব সুন্দর গান,❤❤❤❤❤❤❤❤❤
31/12/2024    12:07 PM,🎶
So sutty song 🥰🥰🫶🫶,❤❤❤😍😍🙂😹💞💕💝💝🖤🖤💯💯💯🌹🌹💐💐
"From Kerala,  @2024",❤
30 December 2024,❤
"Amit, Kohli",❤❤❤
The best song,😢😢😢❤❤❤
1/1/2025 ko kon kon sun rahe ho 🫶🥀,💕😘😍
Kon kon Lanka sa sun rahe ho,🎉🎉❤❤
2025wale hazri lgaye,😅😅
", keep",😊
So Song,❤❤❤❤❤❤❤😊😊😊😊😊😊😊
J,❤❤❤❤
Mind blowing song,😍😍😍💗💗💗💗
Love,❤
Best popular song🥰️️,😱😜❤❤
West Bengal theke ke ke gaan suncho,❤❤😊😊
Maa papa chard isprs,🙏
Supiri    hindi    sindu    tika   karagena   yanna      adarei    hamadamath   hode🥰🥰🥰🥰🥰,🎉🎉🎉🎉🎉❤❤❤❤❤🎉🎉🎉❤❤❤❤❤❤
apka gan bohat nice,❤❤❤❤😮😮😮
Hm,😂
Don,❤
I love Evergreen old songs 🧡🤍,💃💃🎊💚
Evergreen songs 🧡🤍 I love Indian old songs,💯💃💃🎊🎊📻📻💚
Up 27,❤❤
Me,❤❤❤❤❤
I am December 29,❤❤❤❤❤
Kon kon december 2024 ke last me sun rha hai....,😊❤
a,❤❤❤❤
I miss you love,😢😢
There are songs is lovely,❤❤❤❤❤❤🎉🎉🎉🎉
Kon  kon 24ke  December  song sun rhahai,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Pakistan zindabad,🇵🇰
Ankit Kumar,❤
Me,❤
M,😄
Love song,❤❤❤❤
Mala_Mg28,❤❤❤❤❤❤❤❤❤
28th december 2024,😊
"Who is listening the song today.

Do",👍
So cute  song,❤
Me,✋
Hii nice song,❤
Old romantic song always heart touching,❤❤❤❤
Super song,😂❤❤❤
Nice pic 🤩,❤❤❤❤❤
90s songs hits different,💗
ham,❤❤❤❤❤
"Ankit,jatav",🎉🎉🎉🎉❤❤❤❤❤
December 2024🤚,😅😅
"Radha krishna
️️️️️",❤❤❤❤❤
27 December 2024,😅
fgh,😢😢😢😢
Àà,❤❤❤❤❤
Fantastic,😍😍
come dec,🎉🎉🎉🎉
L,😊
212compilt thank,❤❤❤
Nice song,❤❤
Hello,👋🏻
Ow,❤❤❤❤
Ow,❤❤❤❤
Aaj.kon.kon.sun.rahe.ho,❤❤😂😂
mm,😮😮😮😅😅
I love old songs,❤❤
Me to kal sun rhi hu,😂
️️i love this song,❤❤
Super song,❤❤❤❤
25 december,❤
24 dec kon kon he is song sunreheho....,😊
yes I am listening,❤❤❤❤
25 December ko kon kon sun rha hai.,❤
Nice,👍
25  dec 2024,😊😊
G,😂
25 December,❤
25 dec attendance please,❤❤
Alka yagnik fan hare,❤❤❤❤❤❤
yeeeeeeeeeèeeeeeeeèeèeeeee We r very very very very very very very very happy,🎉
24 December sunne wale.... attendance lgao.....,❤❤
I'm from jharkhand,😊
ham,🎉
Ham🤚,😊
Ss,😢🎉😢😮😅😅
mast song,❤❤❤❤❤
আমার মনের মত গান এই গান শুনে আমি গুমজেতপ পারিদিন রাত আমি এইগান শুনি,❤❤❤❤
Sukoon,💔🚬
Nice song,💯💯
Super,❤❤❤
"Best of the singer,,,,Udit Narayan,Alka Yagnik, Kumar sanu , west bengal  india",❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊
Super hero song lyrics My heart ️,❤
song,❤
Me 3000 sal me hu avi,😂
দারুম,❤❤❤❤
Very very nice song,❤❤❤
Rajanraj yadav love you songs,❤❤
Nice,❤❤
Very nice song,❤❤❤❤❤❤❤❤❤❤❤
Nost,❤
Ham,😊
Life time listing song,❤
DG,❤❤❤❤❤❤❤❤❤
Hii,❤
22dec 2024️,❤
Old is always gold,😢❤❤
Good song,❤❤❤❤❤
Hllo,😮😢
old is good,❤
Song are so much beautiful when there no feminism in bollywood,❤❤❤❤❤❤❤❤
"This is song 
Not now 2024 song",❤❌
Fnass,🎉🎉❤
Beautiful,❤❤
Ham,😂😂
Ham,❤❤❤
loved songs,❤❤❤❤❤❤
loved songs,❤❤❤❤❤❤
loved songs,❤❤❤❤❤❤
Hii,❤❤❤❤❤
Gtd,😊
MmXXXX,😊😊😊😊❤❤❤
Well done,👍👍✅
Like this song,❤
Like this song,🎉❤❤❤❤❤
Ha,😂
Tor bap,😂😂😂😂
Nice  song,😊😊😊❤❤😊😊
Very nice,❤❤❤❤❤❤❤❤❤❤❤❤
Supar song song,❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Wata song,🎉
৯০৯০৯,❤😊
Nice and to good song,❤❤
ভালো লাগে,❤❤❤❤❤❤❤❤
January 2025,❤
Asda,😂❤😅
Asda,😂
Math solving songs,😂
Me,😅
old is gold🥰,😃
Good sadabahar song,🎼🎵
Me sun rha hu,❤
Old is gold,😊😊😊
17 dec 2024,❤❤❤
I am listening  songs  & love for  life,🎧🎶😊❤
Nice,❤❤
Super old song,❤❤❤
December  2024I remember when I used to dance to this music,💙💙
Dream song,❤
Super,❤😊
All song good,❤
really nice,❤❤❤
Love it,❤❤❤❤❤❤❤❤
Old is gold,❤
"Kan kan December 123,,,,,,,,,,,15,16,17,18,19,20,parme derahahe ba bej do",❤❤❤❤
Hammmmmmm 3:08 3:08 3:11 3:11 3:11 2:17,😂😂😂😂😂😂😂
Decemer 2024waly kedhr hay,❤🎉
Kawn kawn y gana 2028may suny gaa,😅
Nice sang,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
I am 17 years old and I love ️ old songs,❤
Si love hindi songs,❤❤❤❤❤
Film raj was very famus in our time the songs was very sweet thanks for giving ️,🌹❤
Good,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉
December,😅
P,😊
Nice good,❤
Nice song,🎉❤
Hii,🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤
Good morning,🌞🌞🌄
Nice ️,❤
my favourite song,❤❤❤❤❤
Ham,❤😢😢
Rajneeshv,❤
DEEP,❤❤
love it song🥰🥰,😍😍😍😍😍😍😍😍
2024 me to,😂😂😂
12 December me,😂
Best song,❤❤❤❤❤❤
Nice song,❤❤
SADDAM khandwa Holi,❤
Me,😂
Soundvery nice looking,😊😊😊❤❤❤
Me,😁
12 December 2024 9:49Am,😊
December 2024 attendence here,😉😊
So quite song,❤🎉🎉
So quite song,❤🎉🎉
Nice song,❤❤❤❤❤❤❤❤❤❤❤❤
Super music,❤❤❤❤
ঐ দুসটু বন্ধু তাই বুঝি,😢😢😢😢😢😮😮❤❤
Nice Song,❤❤❤❤❤❤
I'm here bro,❤
Ham,❤❤❤❤
Ha,❤
10 Dec 2024 ko kon kon sun rha he songs ko,😂
My forest song,❤❤❤❤❤
Old song is the best,❤❤❤
Nice,😂😂😂😂😂
Me,❤❤❤
Nice song,❤
Lovely songs,❤❤❤❤❤❤
2024 me dekhne wala,❤
Nicesong,❤❤❤
Anu sir,❤❤❤😊😊😊😊
nice,❤❤❤😅😅😅
Kon kon ye gana december 2024 me sun rehe ho,❤🎉🎉
Nice song,❤❤
My favourite songs,❤
Ham vi,❤❤❤
My favorite song,❤❤❤❤❤
Ritik King  yadav ji,👑
Me 🥰,😘
Ham,😢😢😢😢
Old is gold,😢❤
Nyc Songs,👌
Very very so beautiful my feb..r8song,❤🎉🎉
I like this song,💞
2030.sun.rahahu.bhai,❤❤❤
Aà,🎉
Ham,❤
Kon kon 6 December me song sun rahàhai,❤❤❤
Kon kon 6 December me song sun rahàhai,❤❤❤❤❤
I like this old songs,❤❤❤
Kon kon 6 December 2024   me dekh rha,❤❤😊
Nice song,🎉🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉
https://youtube.com/@rcjewellery12?si=ly0A5VlqEPd3n8HR,😮
Lo,❤❤
Z,❤
2024 December  attendence here,😮😮
hindi,📝📝📝📝📝📝📝📝📝❤❤❤❤❤❤
5 December 2024,❤❤❤🎉❤❤
Exlent song,👌👌👌👏💯
Mylovejanyou,❤❤❤❤❤❤❤❤❤
janLoveyoujan🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🤩🤩🤩🤩🤩🤩,😮😮😮😮😮😮😮😮😮😮😮😮😮😮❤❤😇😇😇😇😇😘😘😘😘😘😘😗😘😗😍😍😍😍😍😍💞💞💞💕💕💕💕💕💕💋💋💋💋💋💋💋💖💖💖💖💖💖💖💗💞💞💞💞💞💞💞
Nice,❤❤❤❤❤❤❤❤❤😮😮😮😮😮😮😮😮😮😮
December ️,😞😞❤
December 04/2024,❤
Old is Gold 🫶,💯🏻
0আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা আজ শাশুড়িমায়ের হাতের রান্না নদীর চিংড়ি মাছ দিয়ে জমির কচি মুলো শাক ভাজি খাবো ️ শুভ সকাল বন্ধুরা,❤🙏❤🙏❤🙏❤🙏❤🙏❤🙏❤🙏😊❤🙏❤🙏❤❤🐯
Ham,❤
Maja,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Rfdjf,😂
l,😊
Old is gold,❤
I love this song,❤❤❤
I lake,❤
n,😊
Oh nice song,❤❤🎉🎉❤🎉❤❤🎉🎉❤❤🎉🎉
Hii,❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
Jn miss you,❤❤
Anyone last 2024,😅
Nice,🎉
Old is gold,❤❤❤😊😊😊
Anyone 2025,😊
So Sweet Song,🎵❤❤❤
December me sunne wale present here....,❤
ashish,❤❤❤❤❤
No 90 s 2000 year song,😅
2024 DECEMBER Raise your hand>,✋
Shikha,❤❤❤❤
love you song,❤
Kon kon 2025 me like subscribe piliz,😢
02 December 2024,😂😂😂
in,😅
I love this song,❤❤❤
December 2024 me dekhne wale like kro,❤❤❤
In December,❤
I love my song,❤
Hyhyd,❤❤
K k 2025 sale suncho,😊
Old Song  Is Lovely Feeling,💫🌹
Nice,❤❤❤
December 2024 attendance here,❤
I love this old song,❤
Me,😮
December 2024me sun rhi hu,❤❤❤
X,🎉🎉🎉🎉🎉🎉😅😮😅😂😂😅😂❤😅😅😮😮😮
December 2024,❤
So good. Songs,😊😊😊😊😊😊🎉🎉🎉🎉❤❤❤❤❤❤
Old is gold really I like old songs,😍😍😍
Look,😊
My love song,❤❤❤❤💞💞💞💞💞💞💔💔💔💔
thank you,❤❤❤
Naseem,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Old si gold,❤
30/11/24ko sune bale hajari laga ke jaye,😊
Kon kon November m song sun rha ja,❤❤❤❤
old is gold masha allha,❤❤❤❤❤❤❤❤❤❤❤❤❤
nich. Gana,❤❤😂😂
Super good  with out any add,❤👌🌹
P0p,😅
Me,❤❤
Kon kon December me  song sun raha...,😊👉
90 s love songs,❤
"These Golden songs are the golden moments of life, Evergreen moments of life.......",💖💖🌹🌹
Hii,❤❤
I like to listen this songs during my work out,❤
Me abind,🎉🎉🎉
2005 hit songs all,❤❤❤
ysgeud,❤❤❤❤❤❤❤
jerge,❤❤❤❤❤❤
Old is gold,❤
Hay,❤❤❤😂😂😂🎉🎉
Gaan buhot adsa huya,😮😮😮😮😮
Film or movie dono mst  who is agree with me.,❤
My favorite songs,❤
Kon kon 2025 me sunega,❤❤
kzu,😅😮😢😮😮😅
Old is gold,❤
Meh,😕
Old is gold,😊
ʙᴇsᴛ sᴏɴɢ,❤
Cant let the homies know i fw this,🔥🔥
My favourite song,❤❤❤❤
Hammm,😅😅😅
Nice song old is gold,🎉😊
Good,🎉🎉🎉
Me,🎉🎉😊
Ok,😊
"Aapl ok m

Ll

Ko ko
L ll


L mm
Ko
L mm l",😊😊😊😅😅
Jjjjk kkk Jokkk kk jjmjk kk k kklmnnnop ko ppppppppppppppppppópp,😊😊
Jjjjk kkk Jokkk kk jjmjk kk k kklmnnnop ko ppppppppppppppppppópp,😊😊
Jjjjk kkk Jokkk kk jjmjk kk k kklmnnnop ko ppppppppppppppppppópp,😊😊
Thanks for 100 subscribers,😂👌
I love i am just crying  old days,😭😭
song,💚
Amit Kumar 🫶,❤❤❤❤🚩🚩🚩🚩😎😈👍
